,stock,mktcap
872,2313.HK,0
873,2314.HK,0
874,2317.HK,0
875,2318.HK,1633403666432
876,2324.HK,0
877,2326.HK,0
878,2327.HK,0
879,2328.HK,128563388416
880,2336.HK,0
881,2337.HK,0
882,2338.HK,0
883,2339.HK,0
884,2345.HK,0
885,2346.HK,0
886,2348.HK,0
887,2349.HK,0
888,2359.HK,0
889,2360.HK,0
890,2362.HK,0
891,2363.HK,0
892,2377.HK,0
893,2378.HK,278932029440
894,2379.HK,0
895,2380.HK,0
896,2388.HK,242117115904
897,2389.HK,0
898,2393.HK,0
899,2398.HK,0
900,2500.HK,0
901,2528.HK,0
902,2552.HK,0
903,2558.HK,0
904,2606.HK,0
905,2607.HK,57521147904
906,2608.HK,0
907,2611.HK,0
908,2638.HK,0
909,2660.HK,0
910,2662.HK,0
911,2663.HK,0
912,2680.HK,0
913,2682.HK,0
914,2683.HK,0
915,2686.HK,0
916,2699.HK,0
917,2700.HK,0
918,2708.HK,0
919,2718.HK,0
920,2768.HK,0
921,2772.HK,0
922,2777.HK,0
923,2778.HK,0
924,2799.HK,33600372736
925,2800.HK,0
926,2801.HK,0
927,2802.HK,0
928,2807.HK,0
929,2809.HK,0
930,2810.HK,0
931,2811.HK,0
932,2821.HK,0
933,2822.HK,0
934,2823.HK,0
935,2824.HK,0
936,2832.HK,0
937,2833.HK,0
938,2834.HK,0
939,2836.HK,0
940,2846.HK,0
941,2848.HK,0
942,2858.HK,0
943,2863.HK,0
944,2878.HK,0
945,2880.HK,0
946,2882.HK,0
947,2883.HK,46207934464
948,2898.HK,0
949,2899.HK,218893565952
950,2906.HK,0
951,2952.HK,0
952,2958.HK,0
953,2959.HK,0
954,3005.HK,0
955,3007.HK,0
956,3016.HK,0
957,3019.HK,0
958,3020.HK,0
959,3022.HK,0
960,3032.HK,0
961,3033.HK,0
962,3036.HK,0
963,3040.HK,0
964,3053.HK,0
965,3055.HK,0
966,3065.HK,0
967,3067.HK,0
968,3077.HK,0
969,3079.HK,0
970,3080.HK,0
971,3081.HK,0
972,3088.HK,0
973,3091.HK,0
974,3092.HK,0
975,3093.HK,0
976,3100.HK,0
977,3101.HK,0
978,3110.HK,0
979,3115.HK,0
980,3127.HK,0
981,3128.HK,0
982,3130.HK,0
983,3140.HK,0
984,3149.HK,0
985,3157.HK,0
986,3160.HK,0
987,3163.HK,0
988,3170.HK,0
989,3173.HK,0
990,3175.HK,0
991,3181.HK,0
992,3191.HK,0
993,3193.HK,0
994,3197.HK,0
995,3198.HK,0
996,3303.HK,0
997,3306.HK,0
998,3308.HK,0
999,3309.HK,0
1000,3318.HK,0
1001,3319.HK,0
1002,3320.HK,0
1003,3321.HK,0
1004,3329.HK,0
1005,3330.HK,0
1006,3331.HK,0
1007,3332.HK,0
1008,3339.HK,0
1009,3344.HK,0
1010,3347.HK,0
1011,3348.HK,0
1012,3368.HK,0
1013,3369.HK,0
1014,3377.HK,0
1015,3378.HK,0
1016,3390.HK,0
1017,3393.HK,0
1018,3395.HK,0
1019,3396.HK,0
1020,3603.HK,0
1021,3606.HK,0
1022,3608.HK,0
1023,3613.HK,0
1024,3628.HK,0
1025,3633.HK,0
1026,3636.HK,0
1027,3638.HK,0
1028,3668.HK,0
1029,3669.HK,0
1030,3678.HK,0
1031,3680.HK,0
1032,3689.HK,0
1033,3690.HK,0
1034,3692.HK,0
1035,3698.HK,0
1036,3718.HK,0
1037,3728.HK,0
1038,3737.HK,0
1039,3738.HK,0
1040,3788.HK,0
1041,3789.HK,0
1042,3798.HK,0
1043,3799.HK,0
1044,3818.HK,0
1045,3822.HK,0
1046,3828.HK,0
1047,3830.HK,0
1048,3848.HK,0
1049,3860.HK,0
1050,3866.HK,0
1051,3868.HK,0
1052,3883.HK,0
1053,3886.HK,0
1054,3888.HK,0
1055,3889.HK,0
1056,3903.HK,0
1057,3908.HK,0
1058,3913.HK,0
1059,3918.HK,0
1060,3939.HK,0
1061,3948.HK,0
1062,3958.HK,0
1063,3963.HK,0
1064,3988.HK,1007292710912
1065,3989.HK,0
1066,3990.HK,0
1067,3991.HK,0
1068,3998.HK,0
1069,3999.HK,0
1070,4332.HK,1045816082432
1071,4333.HK,1228378472448
1072,4604.HK,0
1073,4606.HK,0
1074,4607.HK,0
1075,4608.HK,0
1076,4613.HK,0
1077,4614.HK,0
1078,4615.HK,0
1079,4616.HK,0
1080,6030.HK,401999134720
1081,6033.HK,0
1082,6036.HK,0
1083,6038.HK,0
1084,6063.HK,0
1085,6066.HK,0
1086,6068.HK,0
1087,6069.HK,0
1088,6090.HK,0
1089,6093.HK,0
1090,6098.HK,0
1091,6099.HK,0
1092,6113.HK,0
1093,6116.HK,0
1094,6117.HK,0
1095,6118.HK,0
1096,6133.HK,0
1097,6136.HK,0
1098,6138.HK,0
1099,6158.HK,0
1100,6166.HK,0
1101,6168.HK,0
1102,6169.HK,0
1103,6178.HK,0
1104,6188.HK,0
1105,6189.HK,0
1106,6190.HK,0
1107,6193.HK,0
1108,6688.HK,0
1109,6805.HK,0
1110,6806.HK,0
1111,6808.HK,0
1112,6819.HK,0
1113,6820.HK,0
1114,6822.HK,0
1115,6823.HK,0
1116,6833.HK,0
1117,6836.HK,0
1118,6837.HK,182687236096
1119,6838.HK,0
1120,6862.HK,0
1121,6865.HK,0
1122,6866.HK,0
1123,6868.HK,0
1124,6881.HK,109964820480
1125,6882.HK,0
1126,6885.HK,0
1127,6886.HK,185855983616
1128,6896.HK,0
1129,6898.HK,0
1130,6899.HK,0
1131,6900.HK,0
1132,6933.HK,0
1133,6958.HK,0
1134,6966.HK,0
1135,6968.HK,0
1136,6998.HK,0
1137,7200.HK,0
1138,7205.HK,0
1139,7221.HK,0
1140,7242.HK,0
1141,7261.HK,0
1142,7266.HK,0
1143,7272.HK,0
1144,7312.HK,0
1145,7321.HK,0
1146,7322.HK,0
1147,7328.HK,0
1148,7373.HK,0
1149,7500.HK,0
1150,7522.HK,0
1151,7568.HK,0
1152,8006.HK,0
1153,8007.HK,0
1154,8009.HK,0
1155,8011.HK,0
1156,8020.HK,0
1157,8021.HK,0
1158,8022.HK,0
1159,8023.HK,0
1160,8029.HK,0
1161,8030.HK,0
1162,8031.HK,0
1163,8032.HK,0
1164,8039.HK,0
1165,8040.HK,0
1166,8041.HK,0
1167,8042.HK,0
1168,8049.HK,0
1169,8050.HK,0
1170,8051.HK,0
1171,8052.HK,0
1172,8059.HK,0
1173,8060.HK,0
1174,8062.HK,0
1175,8063.HK,0
1176,8070.HK,0
1177,8071.HK,0
1178,8072.HK,0
1179,8073.HK,0
1180,8080.HK,0
1181,8081.HK,0
1182,8082.HK,0
1183,8083.HK,0
1184,8090.HK,0
1185,8091.HK,0
1186,8092.HK,0
1187,8093.HK,0
1188,8101.HK,0
1189,8103.HK,0
1190,8106.HK,0
1191,8107.HK,0
1192,8113.HK,0
1193,8115.HK,0
1194,8116.HK,0
1195,8117.HK,0
1196,8123.HK,0
1197,8125.HK,0
1198,8126.HK,0
1199,8128.HK,0
1200,8135.HK,0
1201,8136.HK,0
